Name,A,Omega,Betai,Mprog,Mcore,Rcore,Mi,Ri,rhoci,EOS
signal_s20a2o15_ls,1,7.6,2.5,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a2o15_shen,1,7.6,2.5,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a3o05_ls,0.5,4.21,0.25,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a3o05_shen,0.5,4.21,0.25,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a3o07_ls,0.5,5.95,0.5,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a3o07_shen,0.5,5.95,0.5,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a3o09_ls,0.5,8.99,0.9,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a3o09_shen,0.5,8.99,0.9,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a3o12_ls,0.5,10.65,1.6,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a3o12_shen,0.5,10.65,1.6,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a3o13_ls,0.5,11.3,1.8,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a3o13_shen,0.5,11.3,1.8,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a3o15_ls,0.5,13.31,2.5,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a3o15_shen,0.5,13.31,2.5,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s40a1o01_ls,50,0.45,0.13,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a1o01_shen,50,0.45,0.13,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a1o05_ls,50,1.01,0.64,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a1o05_shen,50,1.01,0.64,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a1o07_ls,50,1.43,1.28,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a1o07_shen,50,1.43,1.28,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a1o09_ls,50,1.91,2.31,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a1o09_shen,50,1.91,2.31,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a1o13_ls,50,2.71,4.62,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a1o13_shen,50,2.71,4.62,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a2o05_ls,1,2.4,0.36,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a2o05_shen,1,2.4,0.36,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a2o07_ls,1,3.4,0.72,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a2o07_shen,1,3.4,0.72,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a2o09_ls,1,4.56,1.3,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a2o09_shen,1,4.56,1.3,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a2o13_ls,1,6.45,2.6,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a2o13_shen,1,6.45,2.6,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a2o15_ls,1,7.6,3.62,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a2o15_shen,1,7.6,3.62,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a3o05_ls,0.5,4.21,0.29,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a3o05_shen,0.5,4.21,0.29,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a3o07_ls,0.5,5.95,0.57,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a3o07_shen,0.5,5.95,0.57,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a3o09_ls,0.5,8.99,1.03,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a3o09_shen,0.5,8.99,1.03,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a3o12_ls,0.5,10.65,1.84,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a3o12_shen,0.5,10.65,1.84,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a3o13_ls,0.5,11.3,2.07,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a3o13_shen,0.5,11.3,2.07,40,1.55,1.62,2.03,4.6,3.88,Shen
signal_s40a3o15_ls,0.5,13.31,2.87,40,1.55,1.62,2.03,4.6,3.88,LS
signal_s40a3o15_shen,0.5,13.31,2.87,40,1.55,1.62,2.03,4.6,3.88,Shen
